region,observation_year,minimum_age_years,activity,residence,sex,activity_scope,denominator,value,unit,source,source_id,source_sha256,statement,pdf_page,status
Maharashtra,2024,6,Self-care and maintenance,rural+urban,male,major_activity,participation,100.0,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Self-care and maintenance,rural+urban,female,major_activity,participation,100.0,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Self-care and maintenance,rural+urban,person,major_activity,participation,100.0,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Employment and related activities,rural,male,major_activity,per_participant,479,minutes_per_day,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,4.1,111,state_benchmark_not_local_diary
Maharashtra,2024,6,Employment and related activities,rural,female,major_activity,per_participant,393,minutes_per_day,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,4.1,111,state_benchmark_not_local_diary
Maharashtra,2024,6,Employment and related activities,rural,person,major_activity,per_participant,450,minutes_per_day,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,4.1,111,state_benchmark_not_local_diary
Maharashtra,2024,6,Employment and related activities,urban,male,major_activity,per_participant,559,minutes_per_day,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,4.1,111,state_benchmark_not_local_diary
Maharashtra,2024,6,Employment and related activities,urban,female,major_activity,per_participant,440,minutes_per_day,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,4.1,111,state_benchmark_not_local_diary
Maharashtra,2024,6,Employment and related activities,urban,person,major_activity,per_participant,533,minutes_per_day,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,4.1,111,state_benchmark_not_local_diary
Maharashtra,2024,6,Employment and related activities,rural+urban,male,major_activity,per_participant,513,minutes_per_day,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,4.1,111,state_benchmark_not_local_diary
