office_label,column_1_based,measure,office_level,category_code,printed_category_label,vehicles_count,aggregate_row,source_page,source,source_sha256
Greater Mumbai,5,registered_stock_20170331,region,12,12 Pvt.Serv.Veh.,1021,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Greater Mumbai,5,registered_stock_20170331,region,13,13 Ambulances,1163,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Greater Mumbai,5,registered_stock_20170331,region,14,14 Arti. & Multi.Veh.,11,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Greater Mumbai,5,registered_stock_20170331,region,15,15 Trucks & Lorries,4321,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Greater Mumbai,5,registered_stock_20170331,region,16,16 Tankers,463,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Greater Mumbai,5,registered_stock_20170331,region,17,17 Del. Van(4 Wh.),26456,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Greater Mumbai,5,registered_stock_20170331,region,18,18 Del. Van(3 wh.),20373,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Greater Mumbai,5,registered_stock_20170331,region,19,19 Tractors,191,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Greater Mumbai,5,registered_stock_20170331,region,20,20 Trailers,102,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Greater Mumbai,5,registered_stock_20170331,region,21,21 Others.,1355,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Greater Mumbai,5,registered_stock_20170331,region,total_all_vehicles,Total,3052901,True,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Thane,6,registered_stock_20170331,office,1,1 Motor Cycles,799232,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Thane,6,registered_stock_20170331,office,2,2 Scooters,263811,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Thane,6,registered_stock_20170331,office,3,3 Mopeds,13521,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Thane,6,registered_stock_20170331,office,subtotal_two_wheelers,Total Two  wheelers,1076564,True,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Thane,6,registered_stock_20170331,office,4,4 Motor Cars,414284,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Thane,6,registered_stock_20170331,office,5,5 Jeeps,45414,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Thane,6,registered_stock_20170331,office,6,6 Station Wagons,5469,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Thane,6,registered_stock_20170331,office,7a,7(A) Taxi meter fitted,2393,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Thane,6,registered_stock_20170331,office,7b,7(B) Taxi Tourist Cabs,37522,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Thane,6,registered_stock_20170331,office,8,8 Autorickshaws,93200,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Thane,6,registered_stock_20170331,office,9,9 Stage Carriages,1050,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Thane,6,registered_stock_20170331,office,10,10 Contract Carriages,12124,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Thane,6,registered_stock_20170331,office,11,11 School Buses,1193,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Thane,6,registered_stock_20170331,office,12,12 Pvt.Serv.Veh.,1732,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Thane,6,registered_stock_20170331,office,13,13 Ambulances,1693,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Thane,6,registered_stock_20170331,office,14,14 Arti. & Multi.Veh.,10604,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Thane,6,registered_stock_20170331,office,15,15 Trucks & Lorries,73661,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Thane,6,registered_stock_20170331,office,16,16 Tankers,12258,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
