source,source_id,source_sha256,source_pdf_page,reference_date_basis,publisher_citation_year,state_name,district_name_as_printed,district_number_within_report_state,boundary_year,status,reference_year,age_label,male_persons_count,female_persons_count
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2016,12,23066,20585
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2012,13,21698,19496
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2013,13,22023,19771
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2014,13,22347,20047
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2015,13,22672,20323
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2016,13,22996,20599
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2012,14,21045,19021
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2013,14,21443,19375
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2014,14,21843,19731
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2015,14,22246,20092
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2016,14,22653,20455
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2012,15-19,94651,87814
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2013,15-19,97371,90384
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2014,15-19,100141,93002
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2015,15-19,102962,95671
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2016,15-19,105835,98390
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2012,20-24,77598,78143
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2013,20-24,80092,80485
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2014,20-24,82637,82873
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2015,20-24,85234,85306
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2016,20-24,87884,87787
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2012,25-29,64793,63818
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2013,25-29,66390,64919
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2014,25-29,68011,66029
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2015,25-29,69657,67146
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2016,25-29,71327,68272
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2012,30-34,55157,57388
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2013,30-34,56009,58116
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2014,30-34,56862,58842
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2015,30-34,57716,59566
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2016,30-34,58571,60287
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2012,35-39,52820,53939
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2013,35-39,53312,54661
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2014,35-39,53792,55382
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2015,35-39,54260,56103
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2016,35-39,54717,56823
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2012,40-44,48822,48353
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2013,40-44,50056,49796
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2014,40-44,51309,51266
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2015,40-44,52581,52765
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2016,40-44,53874,54294
