observation_year,geography_level,ec_district_code,geography_name,table,dimension,category,measure,value_count,source,derivation,source_id,source_sha256,pdf_page,status
2013,historical_district,16,Hingoli,2.8,residence,urban,establishments,7449,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,16,Hingoli,2.8,residence,combined,establishments,35841,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,16,Hingoli,2.8,residence,rural,persons_engaged,44305,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,16,Hingoli,2.8,residence,urban,persons_engaged,17050,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,16,Hingoli,2.8,residence,combined,persons_engaged,61355,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,17,Parbhani,2.8,residence,rural,establishments,32964,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,17,Parbhani,2.8,residence,urban,establishments,26848,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,17,Parbhani,2.8,residence,combined,establishments,59812,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,17,Parbhani,2.8,residence,rural,persons_engaged,49976,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,17,Parbhani,2.8,residence,urban,persons_engaged,56387,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
