location_id,purpose,geography_id,x_m,y_m,source
osm_node_10170584902,shopping,27:518:99999:802794:1870:000000,274399.21369872836,2128552.964107625,OSM_point_location_not_capacity
osm_node_10170584903,work,27:518:99999:802794:1870:000000,274477.21482682746,2128546.508988132,OSM_point_location_not_capacity
osm_node_10170584903,shopping,27:518:99999:802794:1870:000000,274477.21482682746,2128546.508988132,OSM_point_location_not_capacity
osm_node_10170584904,work,27:518:99999:802794:1870:000000,274476.6979014983,2128544.677272658,OSM_point_location_not_capacity
osm_node_10170584904,shopping,27:518:99999:802794:1870:000000,274476.6979014983,2128544.677272658,OSM_point_location_not_capacity
osm_node_10170618322,work,27:518:99999:802794:1870:000000,274637.85826164245,2128539.809754189,OSM_point_location_not_capacity
osm_node_10170618322,shopping,27:518:99999:802794:1870:000000,274637.85826164245,2128539.809754189,OSM_point_location_not_capacity
osm_node_10170618323,work,27:518:99999:802794:1870:000000,274627.87923002325,2128543.376503888,OSM_point_location_not_capacity
osm_node_10170631375,work,27:518:99999:802794:1870:000000,274149.95627467614,2129208.3035420408,OSM_point_location_not_capacity
osm_node_10170631379,work,27:518:99999:802794:1870:000000,274176.5559150571,2129177.8563631536,OSM_point_location_not_capacity
osm_node_10170631379,leisure,27:518:99999:802794:1870:000000,274176.5559150571,2129177.8563631536,OSM_point_location_not_capacity
osm_node_10170631380,work,27:518:99999:802794:1870:000000,274158.23641911487,2129200.0625752625,OSM_point_location_not_capacity
osm_node_10170631381,work,27:518:99999:802794:1870:000000,274170.42222508416,2129189.5808882364,OSM_point_location_not_capacity
osm_node_10170631382,work,27:518:99999:802794:1870:000000,274162.37316132954,2129175.6842685533,OSM_point_location_not_capacity
osm_node_10170631383,work,27:518:99999:802794:1870:000000,274142.18513327185,2129164.15233351,OSM_point_location_not_capacity
osm_node_10170631383,shopping,27:518:99999:802794:1870:000000,274142.18513327185,2129164.15233351,OSM_point_location_not_capacity
osm_node_10170645868,work,27:518:99999:802794:1870:000000,274252.59298834665,2129320.7311298656,OSM_point_location_not_capacity
osm_node_10170645869,work,27:518:99999:802794:1870:000000,274226.9100409302,2129304.5167737445,OSM_point_location_not_capacity
osm_node_10170645869,leisure,27:518:99999:802794:1870:000000,274226.9100409302,2129304.5167737445,OSM_point_location_not_capacity
